source_root,source_path,organized_path,media_type,extension,size_bytes,dimensions,duration_seconds,category,include_recommendation,quality_rating,target_page,target_section,notes,web_copy
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0004.JPG",,image,.jpg,1477068,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0005.JPG",,image,.jpg,1276257,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0006.JPG",,image,.jpg,1385696,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0007.JPG",,image,.jpg,1216177,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0008.JPG",,image,.jpg,1350606,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0009.JPG",,image,.jpg,1236364,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0010.JPG",,image,.jpg,1020907,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0011.JPG",,image,.jpg,1173049,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0012.JPG",,image,.jpg,1270695,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0013.JPG",,image,.jpg,1656740,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0014.JPG",,image,.jpg,1424646,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0015.JPG",,image,.jpg,1114843,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0016.JPG",,image,.jpg,1542876,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0017.JPG",,image,.jpg,1741687,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0018.JPG",,image,.jpg,1956651,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0019.JPG",,image,.jpg,1488273,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0020.JPG",,image,.jpg,1658324,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0021.JPG",,image,.jpg,1724547,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0022.JPG",,image,.jpg,1703742,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0023.JPG",,image,.jpg,1367658,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0024.JPG",,image,.jpg,1940243,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0025.JPG",,image,.jpg,1953160,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0026.JPG",,image,.jpg,2099936,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0027.JPG",,image,.jpg,1986486,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0028.JPG",website-media-filebase\07-projects-oasis-gardens-bus-stop\shared-Johnny-Martin-Jr.-CEO---Camera-1-DSCF0028.JPG,image,.jpg,2321079,3264x2448,,Project before-condition,Supporting,Fair,Projects / Clean & Green,Before-condition proof,Useful but not hero quality.,media-library/07-projects-oasis-gardens-bus-stop/shared-Johnny-Martin-Jr.-CEO---Camera-1-DSCF0028.jpg
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0029.JPG",,image,.jpg,2623689,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0030.JPG",,image,.jpg,2534220,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0031.JPG",,image,.jpg,2513585,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0032.JPG",,image,.jpg,2202190,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0033.JPG",,image,.jpg,2439315,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0034.JPG",,image,.jpg,2334723,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0035.JPG",,image,.jpg,2186096,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0036.JPG",,image,.jpg,2415394,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0037.JPG",,image,.jpg,2277255,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0038.JPG",,image,.jpg,2105369,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0039.JPG",,image,.jpg,2004843,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0040.JPG",,image,.jpg,2134172,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0041.JPG",,image,.jpg,2516187,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0042.JPG",,image,.jpg,2132194,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0043.JPG",,image,.jpg,1983376,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0044.JPG",,image,.jpg,1390986,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0045.JPG",,image,.jpg,1848289,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0046.JPG",,image,.jpg,2129746,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0047.JPG",,image,.jpg,2638922,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0048.JPG",,image,.jpg,2683382,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0049.JPG",,image,.jpg,1917228,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0050.JPG",,image,.jpg,2683265,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0052.JPG",,image,.jpg,2178465,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0053.JPG",,image,.jpg,2587041,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0054.JPG",,image,.jpg,2698772,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0055.JPG",,image,.jpg,1965119,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0056.JPG",,image,.jpg,2467005,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0057.JPG",,image,.jpg,2277406,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0058.JPG",,image,.jpg,2052940,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0059.JPG",,image,.jpg,1928561,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0060.JPG",,image,.jpg,1958033,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0061.JPG",,image,.jpg,2387385,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0062.JPG",,image,.jpg,1938338,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0063.JPG",,image,.jpg,2387132,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0064.JPG",,image,.jpg,2129807,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0065.JPG",,image,.jpg,2110889,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0066.JPG",,image,.jpg,2535690,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0067.JPG",,image,.jpg,2081950,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0068.JPG",,image,.jpg,2121705,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0069.JPG",,image,.jpg,2340037,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0070.JPG",,image,.jpg,2331954,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0071.JPG",,image,.jpg,2364919,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0072.JPG",,image,.jpg,2224945,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0073.JPG",,image,.jpg,2472514,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0074.JPG",,image,.jpg,2327741,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0075.JPG",,image,.jpg,2192980,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0076.JPG",,image,.jpg,2316740,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0077.JPG",,image,.jpg,2499131,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0078.JPG",,image,.jpg,2232416,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0079.JPG",,image,.jpg,2039225,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0080.JPG",,image,.jpg,2202120,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0081.JPG",,image,.jpg,2114592,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0082.JPG",,image,.jpg,2134151,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0083.JPG",,image,.jpg,2214857,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0084.JPG",,image,.jpg,2136459,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0085.JPG",,image,.jpg,2190520,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0086.JPG",,image,.jpg,2186074,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0087.JPG",,image,.jpg,2182120,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0088.JPG",,image,.jpg,1790609,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0089.JPG",,image,.jpg,2190657,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0090.JPG",,image,.jpg,2127896,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0091.JPG",,image,.jpg,2102530,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0092.JPG",,image,.jpg,1965252,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0093.JPG",,image,.jpg,1821116,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0094.JPG",,image,.jpg,1875171,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0095.JPG",,image,.jpg,1852504,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0096.JPG",,image,.jpg,1884148,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0097.JPG",,image,.jpg,1866270,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0098.JPG",,image,.jpg,1325715,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0099.JPG",,image,.jpg,1880749,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0100.JPG",,image,.jpg,1905967,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0101.JPG",,image,.jpg,2043585,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0102.JPG",,image,.jpg,2217779,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0103.JPG",,image,.jpg,2401255,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0104.JPG",,image,.jpg,1918392,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0105.JPG",,image,.jpg,2180931,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0106.JPG",,image,.jpg,2061995,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0107.JPG",,image,.jpg,1957656,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0108.JPG",,image,.jpg,2311625,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0109.JPG",,image,.jpg,2365138,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0110.JPG",,image,.jpg,2547261,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0111.JPG",,image,.jpg,2288927,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
